Match,FF_CLUSTER_THEME,FF_SCOPE,FF_FOCUS,FF_TOPIC,Group_name,Group_type,Topic,Catalogue_category,Sub_category,URL,Recommendation_s__output_s_,Co_chairs,Contact_email,Count
Yes,Open Science / Open Research Commons,Implementation,impact,Joining forces for developing and maintaining a data integrity toolset,Data Repository Attributes WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/data-repository-attributes-wg,,"Michael Witt, Kathleen Shearer, Allyson Lister, Matthew Cannon, Washington Luís Ribeiro de Segundo, Kazu Yamaji",,1
Yes,Open Science / Open Research Commons,Implementation,impact,Joining forces for developing and maintaining a data integrity toolset,Domain Repositories IG,IG,"Technical infrastructure, analysis, storage and preservation ",Computational infrastructures,Data storage and preservation ,https://www.rd-alliance.org/groups/domain-repositories-ig.html,,"Kerstin Lehnert, Peter Doorn",domain-repositories-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,National digital research infrastructure strategy,FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,National Nodes,National PID Strategies WG,WG,Identification and description: PIDs,"Dissemination, linking and findability ",Persistent identfiers ,https://www.rd-alliance.org/groups/national-pid-strategies-wg,,"Christopher Brown, Natasha Simons, Daniel Bangert, Shawna Sadler",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,National PID strategies,National PID Strategies WG,WG,Identification and description: PIDs,"Dissemination, linking and findability ",Persistent identfiers ,https://www.rd-alliance.org/groups/national-pid-strategies-wg,,"Christopher Brown, Natasha Simons, Daniel Bangert, Shawna Sadler",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,National PID strategies,Persistent Identification of Instruments WG,WG,Identification and description: PIDs,"Data management, Data description 
Data analysis ",Data discoverability and accessibility,https://www.rd-alliance.org/groups/persistent-identification-instruments-wg,"Metadata Schema for the Persistent Identification of Instruments
https://www.rd-alliance.org/group/persistent-identification-instruments-wg/outcomes/metadata-schema-persistent-identification 

Persistent Identification of Instruments
https://www.rd-alliance.org/group/persistent-identification-instruments-wg/outcomes/persistent-identification-instruments ","Louise Darroch, Markus Stocker, Rolf Krahl, Ted Habermann",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,National PID strategies,PID IG,IG,Identification and description: PIDs,Computational infrastructures,Data discoverability and accessibility,https://www.rd-alliance.org/groups/pid-interest-group.html,,"Jonathan Clark, Laurel Haak, Adrian Burton",rda-pid-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,National PID strategies,Preserving Scientific Annotation WG,WG,na,na,na,https://www.rd-alliance.org/groups/preserving-scientific-annotation-wg,,,,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Open Research,Global Open Research Commons IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/global-open-research-commons-ig,,"Andrew Treloar, Sarah Jones, Devika Madalli, Mark Leggott, Javier Lopez Albacete",gorc-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Open Research,Life Science Data Infrastructures IG,IG,Disciplinary: Life Science,na,Discipline-specific ,https://www.rd-alliance.org/groups/life-science-data-infrastructures-ig,,"Jeff Christiansen, Nicola Mulder, Susan Gregurick, Wolmar Nyberg Åkerström, Elisha Wood-Charlson",rda-lifescidatainf@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,impact,Open science initiatives and impact of UNESCO's recommendations,Global Open Research Commons IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/global-open-research-commons-ig,,"Andrew Treloar, Sarah Jones, Devika Madalli, Mark Leggott, Javier Lopez Albacete",gorc-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,impact,Open science initiatives and impact of UNESCO's recommendations,Life Science Data Infrastructures IG,IG,Disciplinary: Life Science,na,Discipline-specific ,https://www.rd-alliance.org/groups/life-science-data-infrastructures-ig,,"Jeff Christiansen, Nicola Mulder, Susan Gregurick, Wolmar Nyberg Åkerström, Elisha Wood-Charlson",rda-lifescidatainf@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Incentives,Open Science Policies,Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Openness and Reproducibility,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Openness and Reproducibility,Software Source Code IG,IG,FAIR software ,Computational infrastructures,FAIR software ,https://www.rd-alliance.org/groups/software-source-code-ig,,"Morane Gruenpeter, Neil Chue Hong, Julia Collins",software-source-code-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,Persistent Identifiers,National PID Strategies WG,WG,Identification and description: PIDs,"Dissemination, linking and findability ",Persistent identfiers ,https://www.rd-alliance.org/groups/national-pid-strategies-wg,,"Christopher Brown, Natasha Simons, Daniel Bangert, Shawna Sadler",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,Persistent Identifiers,Persistent Identification of Instruments WG,WG,Identification and description: PIDs,"Data management, Data description 
Data analysis ",Data discoverability and accessibility,https://www.rd-alliance.org/groups/persistent-identification-instruments-wg,"Metadata Schema for the Persistent Identification of Instruments
https://www.rd-alliance.org/group/persistent-identification-instruments-wg/outcomes/metadata-schema-persistent-identification 

Persistent Identification of Instruments
https://www.rd-alliance.org/group/persistent-identification-instruments-wg/outcomes/persistent-identification-instruments ","Louise Darroch, Markus Stocker, Rolf Krahl, Ted Habermann",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,Persistent Identifiers,PID IG,IG,Identification and description: PIDs,Computational infrastructures,Data discoverability and accessibility,https://www.rd-alliance.org/groups/pid-interest-group.html,,"Jonathan Clark, Laurel Haak, Adrian Burton",rda-pid-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,Persistent Identifiers,Preserving Scientific Annotation WG,WG,na,na,na,https://www.rd-alliance.org/groups/preserving-scientific-annotation-wg,,,,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Policies on management and sharing of data,Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Policies on management and sharing of data,Libraries for Research Data IG,IG,RDM support and education ,Data management ,RDM support ,https://www.rd-alliance.org/groups/libraries-research-data.html,"23 Things: Libraries for Research Data (Supporting Output)
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/23-things-libraries-research-data-supporting-output 

Engaging Researchers with Data Management: The Cookbook
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/engaging-researchers-data-management-cookbook 

Top 10 FAIR Data & Software Things
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/top-10-fair-data-software-things","Birgit Schmidt, Andrea Ogier, Christopher Erdmann, Naresh Kumar, Su Nee Goh, Stanislaus Agava",rda-libresearchdata@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Policies on management and sharing of data,Research Data Management in Engineering IG,IG,Disciplinary: Materials science and engineering,na,Discipline-specific ,https://www.rd-alliance.org/groups/research-data-management-engineering-ig,,"Daniela Hausen, Gretchen Greene, Kevin Logan",rdmeng@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Policy alignment / harmonisation,Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,impact,Providing and storage the Research Data from supported projects,Libraries for Research Data IG,IG,RDM support and education ,Data management ,RDM support ,https://www.rd-alliance.org/groups/libraries-research-data.html,"23 Things: Libraries for Research Data (Supporting Output)
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/23-things-libraries-research-data-supporting-output 

Engaging Researchers with Data Management: The Cookbook
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/engaging-researchers-data-management-cookbook 

Top 10 FAIR Data & Software Things
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/top-10-fair-data-software-things","Birgit Schmidt, Andrea Ogier, Christopher Erdmann, Naresh Kumar, Su Nee Goh, Stanislaus Agava",rda-libresearchdata@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,impact,Providing and storage the Research Data from supported projects,Research Data Management in Engineering IG,IG,Disciplinary: Materials science and engineering,na,Discipline-specific ,https://www.rd-alliance.org/groups/research-data-management-engineering-ig,,"Daniela Hausen, Gretchen Greene, Kevin Logan",rdmeng@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,impact,Providing Research Data from Journals,Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,impact,Providing Research Data from Journals,RDA/WDS Publishing Data Workflows WG,WG,FAIR data ,"Dissemination, Linking and Findability 
Computational infrastructures ",,https://www.rd-alliance.org/groups/rdawds-publishing-data-workflows-wg.html,"RDA/WDS Publishing Data Workflows WG Recommendations
https://www.rd-alliance.org/group/rdawds-publishing-data-workflows-wg/outcomes/rdawds-publishing-data-workflows-wg ","Suenje Dallmeier-Tiessen, Fiona Murphy, Amy Nurnberger, Varsha Khodiyar",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,RDA work in developing countries,Data for Development IG,IG,Open and responsible research ,"Data management, open and responsible research",Interdisciplinary data ,https://www.rd-alliance.org/groups/data-development.html,,"Ingvill Constanze Mochmann, Norman Mukasa, Robert Sentamu, Mahadia Tunga, Agapiti Manday",rda-datadev-ig@rda-groups.org,1
Yes,Research Assessment,Policy alignment,Incentives,Recognition of preprint peer review in research assessement and funding decision making,Sharing Rewards and Credit (SHARC) IG,IG,"Impact, metrics and credit","Data management, open and responsible research",RDM support ,https://www.rd-alliance.org/groups/sharing-rewards-and-credit-sharc-ig,,"Anne Cambon-Thomsen, Laurence Mabile, Anne-Marie Tassé, Romain DAVID, Christopher Erdmann, Hanna Shmagun",sharc-ig@rda-groups.org,1
Yes,Research Assessment,Policy alignment,Incentives,Research assessment,Sharing Rewards and Credit (SHARC) IG,IG,"Impact, metrics and credit","Data management, open and responsible research",RDM support ,https://www.rd-alliance.org/groups/sharing-rewards-and-credit-sharc-ig,,"Anne Cambon-Thomsen, Laurence Mabile, Anne-Marie Tassé, Romain DAVID, Christopher Erdmann, Hanna Shmagun",sharc-ig@rda-groups.org,1
Yes,Research Assessment,Policy alignment,NA,research assessment in the context of open science and rdm more specifically,Sharing Rewards and Credit (SHARC) IG,IG,"Impact, metrics and credit","Data management, open and responsible research",RDM support ,https://www.rd-alliance.org/groups/sharing-rewards-and-credit-sharc-ig,,"Anne Cambon-Thomsen, Laurence Mabile, Anne-Marie Tassé, Romain DAVID, Christopher Erdmann, Hanna Shmagun",sharc-ig@rda-groups.org,1
Yes,Open Data,Implementation,Sustainability,Research Data Management/ Open Data,Libraries for Research Data IG,IG,RDM support and education ,Data management ,RDM support ,https://www.rd-alliance.org/groups/libraries-research-data.html,"23 Things: Libraries for Research Data (Supporting Output)
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/23-things-libraries-research-data-supporting-output 

Engaging Researchers with Data Management: The Cookbook
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/engaging-researchers-data-management-cookbook 

Top 10 FAIR Data & Software Things
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/top-10-fair-data-software-things","Birgit Schmidt, Andrea Ogier, Christopher Erdmann, Naresh Kumar, Su Nee Goh, Stanislaus Agava",rda-libresearchdata@rda-groups.org,1
Yes,Open Data,Implementation,Sustainability,Research Data Management/ Open Data,Research Data Management in Engineering IG,IG,Disciplinary: Materials science and engineering,na,Discipline-specific ,https://www.rd-alliance.org/groups/research-data-management-engineering-ig,,"Daniela Hausen, Gretchen Greene, Kevin Logan",rdmeng@rda-groups.org,1
Yes,Research Assessment,Policy alignment,Incentives,Rewarding good research practice in data management and sharing,Sharing Rewards and Credit (SHARC) IG,IG,"Impact, metrics and credit","Data management, open and responsible research",RDM support ,https://www.rd-alliance.org/groups/sharing-rewards-and-credit-sharc-ig,,"Anne Cambon-Thomsen, Laurence Mabile, Anne-Marie Tassé, Romain DAVID, Christopher Erdmann, Hanna Shmagun",sharc-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,FAIR,Policy alignment,Incentives,role of funders to enforce FAIR data,Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,FAIR,Implementation,Costs,Scalable FAIR,Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
Yes,Data lifecycle,Implementation,Business models,"Sustainability models, including lifecycle and maturity models",Libraries for Research Data IG,IG,RDM support and education ,Data management ,RDM support ,https://www.rd-alliance.org/groups/libraries-research-data.html,"23 Things: Libraries for Research Data (Supporting Output)
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/23-things-libraries-research-data-supporting-output 

Engaging Researchers with Data Management: The Cookbook
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/engaging-researchers-data-management-cookbook 

Top 10 FAIR Data & Software Things
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/top-10-fair-data-software-things","Birgit Schmidt, Andrea Ogier, Christopher Erdmann, Naresh Kumar, Su Nee Goh, Stanislaus Agava",rda-libresearchdata@rda-groups.org,1
Yes,Data lifecycle,Implementation,Business models,"Sustainability models, including lifecycle and maturity models",Research Data Management in Engineering IG,IG,Disciplinary: Materials science and engineering,na,Discipline-specific ,https://www.rd-alliance.org/groups/research-data-management-engineering-ig,,"Daniela Hausen, Gretchen Greene, Kevin Logan",rdmeng@rda-groups.org,1
Yes,Data lifecycle,Implementation,Business models,sustainability of research data infrastructure,Data Repository Attributes WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/data-repository-attributes-wg,,"Michael Witt, Kathleen Shearer, Allyson Lister, Matthew Cannon, Washington Luís Ribeiro de Segundo, Kazu Yamaji",,1
Yes,Data lifecycle,Implementation,Business models,sustainability of research data infrastructure,Domain Repositories IG,IG,"Technical infrastructure, analysis, storage and preservation ",Computational infrastructures,Data storage and preservation ,https://www.rd-alliance.org/groups/domain-repositories-ig.html,,"Kerstin Lehnert, Peter Doorn",domain-repositories-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,FAIR,Policy alignment,impact,"The impact of data, make them fair",Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,Transitions,Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
No,Open Science / Open Research Commons,Policy alignment,Industry,Industrial Participation,Small Unmanned Aircraft Systems’ Data IG,IG,na,na,Discipline-specific ,https://www.rd-alliance.org/groups/small-unmanned-aircraft-systems%E2%80%99-data-ig,,"Jane Wyngaard, Lindsay Barbieri, Dimane Mpoeleng",dronedata@rda-groups.org,1
